location,forecast_date,quantile,value,target,target_end_date,type
19,2021-04-19,0.3,22.950732945623404,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.35,25.23463408250563,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.4,27.212065793809895,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.45,28.50571803252,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.5,29.780064313104283,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.55,30.774296784990337,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.6,32.22286625309727,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.65,34.194845061498334,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.7,35.535435295806856,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.75,37.22919435325465,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.8,38.94021371316507,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.85,43.75845817156356,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.9,48.346455014184954,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.95,54.1318253702601,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.975,63.33181309301743,1 wk ahead inc death,2021-04-24,quantile
19,2021-04-19,0.99,68.39974572374717,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.01,2.5617053075587615,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.025,4.755821019167817,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.05,6.164362740612312,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.1,9.553958782381663,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.15,11.633853950588716,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.2,12.74015983143634,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.25,13.715210937185162,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.3,14.965331701962882,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.35,16.56474730404874,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.4,17.705988315856448,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.45,18.824695285896592,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.5,19.999065960280653,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.55,21.17832967784599,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.6,21.983376813655372,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.65,23.131329447793778,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.7,24.71328148834895,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.75,25.731082230451147,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.8,27.901833536929292,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.85,30.728824835670906,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.9,34.9273878415322,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.95,40.75688118083452,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.975,50.9345935396989,1 wk ahead inc death,2021-04-24,quantile
16,2021-04-19,0.99,54.846149947381164,1 wk ahead inc death,2021-04-24,quantile
17,2021-04-19,0.01,87.7971656745937,1 wk ahead inc death,2021-04-24,quantile
17,2021-04-19,0.025,103.43222556602456,1 wk ahead inc death,2021-04-24,quantile
